Galaxy,Q,lam_kpc,eps,chi2,nu,chi2_red,flag_edge,flag_ok,status,lam_kpc_ll
F571-V1_rotmod,1,4.904225250120879,3.0,1.0358974631624958,5,0.20717949263249916,0,1,OK,
F574-1_rotmod,1,1.964987518936634,2.210132755318857,1.986489789231059,12,0.16554081576925492,1,1,EDGE_LOW,
F579-V1_rotmod,1,0.3,1.4848796326436082,14.308378569802384,12,1.1923648808168654,1,1,EDGE_LOW,
F583-1_rotmod,1,0.9686555089354036,2.999999999998486,21.194586293391477,23,0.921503751886586,1,1,EDGE_LOW,
F583-4_rotmod,1,6.27358314935894,2.4702437315310064,1.2214268361523828,10,0.12214268361523828,0,1,OK,
IC2574_rotmod,1,7.458693150225364,3.0,2.4623778526314437,32,0.07694930789473262,0,1,OK,
IC4202_rotmod,1,200.0,2.116257438174604,318.98001070240235,30,10.632667023413411,1,1,EDGE_UP,200.0
KK98-251_rotmod,1,2.1121136977671675,1.988222210499065,0.1114888879014499,13,0.00857606830011153,1,1,EDGE_LOW,
NGC0024_rotmod,1,3.913246239030737,3.0,22.81261751774052,27,0.8449117599163155,1,1,EDGE_LOW,
NGC0055_rotmod,1,13.629390073594044,2.2293222689182324,1.980973490809172,19,0.10426176267416695,0,1,OK,
NGC0100_rotmod,1,9.572145592911836,3.0,13.153810906697982,19,0.6923058371946307,0,1,OK,
NGC0247_rotmod,1,0.3,1.4709625701355875,7.109825910125959,24,0.2962427462552483,1,1,EDGE_LOW,
NGC0289_rotmod,1,81.12696640197002,3.0,237.5432874545071,26,9.136280286711811,0,1,OK,
NGC0300_rotmod,1,5.678902410124477,3.0,11.155271741432308,23,0.485011814844883,0,1,OK,
NGC0801_rotmod,1,200.0,0.5368222171873156,178.59679610773728,11,16.236072373430662,1,1,EDGE_UP,200.0
NGC0891_rotmod,1,117.62417434013742,6.973856346858007e-21,878.0993033334081,16,54.881206458338006,0,1,OK,
NGC1003_rotmod,1,13.17583953412987,3.0,133.45383025614169,34,3.9251126545924024,0,1,OK,
NGC1090_rotmod,1,163.0166168173406,3.0,67.39391584894761,22,3.0633598113158005,0,1,OK,
NGC1705_rotmod,1,1.1256863738693528,3.0,29.64564872792591,12,2.470470727327159,1,1,EDGE_LOW,
NGC2366_rotmod,1,4.210767293701386,2.727132288996891,2.246401736983688,24,0.09360007237432033,1,1,EDGE_LOW,
NGC2403_rotmod,1,18.920247457084557,3.0,215.17880936156192,71,3.0306874557966466,0,1,OK,
NGC2683_rotmod,1,139.23100442607117,3.0,55.37341224717187,9,6.152601360796875,0,1,OK,
NGC2841_rotmod,1,52.39135179048577,3.0,377.8974504026759,48,7.872863550055747,0,1,OK,
NGC2903_rotmod,1,200.0,2.2277321513129986,1246.1763053401398,32,38.94300954187937,1,1,EDGE_UP,200.0
NGC2915_rotmod,1,1.8443467502973812,2.999999999999905,226.70505719736644,28,8.09660918562023,1,1,EDGE_LOW,
NGC2955_rotmod,1,123.38767127931088,2.3584233141028186e-15,467.5308936154914,22,21.251404255249607,0,1,OK,
NGC2976_rotmod,1,199.99284894957177,1.6028948745736185e-18,3.6654964518749154,25,0.1466198580749966,1,1,EDGE_UP,199.99284894957177
NGC2998_rotmod,1,161.46662315447705,3.0,62.542319591335975,11,5.68566541739418,0,1,OK,
NGC3109_rotmod,1,0.407242272323387,3.0,32.86942278846184,23,1.4291053386287758,1,1,EDGE_LOW,
NGC3198,1,0.6075436087936931,0.7920314045504958,0.2542894422574286,4,0.06357236056435715,1,1,EDGE_LOW,
NGC3198_rotmod,1,51.62656575493082,3.0,123.73719984738068,41,3.0179804840824556,0,1,OK,
NGC3521_rotmod,1,117.65318408982128,4.822386230795291e-22,1130.7417856,39,28.993379117948717,0,1,OK,
NGC3726_rotmod,1,200.0,2.410258160034961,128.39714880028995,10,12.839714880028996,1,1,EDGE_UP,200.0
NGC3741_rotmod,1,0.5927395435586663,2.9999999999999427,38.51141678445971,19,2.026916672866301,1,1,EDGE_LOW,
NGC3769_rotmod,1,46.35894391280987,3.0,71.81065575468642,10,7.181065575468642,0,1,OK,
NGC3877_rotmod,1,123.36957916447278,3.1019434529451927e-22,110.1540656306605,11,10.014005966423682,0,1,OK,
NGC3893_rotmod,1,135.6210590862824,3.0,83.03455769481812,8,10.379319711852265,0,1,OK,
NGC3917_rotmod,1,32.52629589544914,2.400947567958133,8.252677817831744,15,0.550178521188783,0,1,OK,
NGC3949_rotmod,1,117.68263622312936,2.90291927392096e-22,71.8011066750029,5,14.36022133500058,0,1,OK,
NGC3953_rotmod,1,198.2545351723324,1.6150912556590189e-15,26.692882330493926,6,4.448813721748988,1,1,EDGE_UP,198.2545351723324
NGC3972_rotmod,1,32.58138722277951,2.999999999999999,4.951269619735045,8,0.6189087024668807,0,1,OK,
NGC3992_rotmod,1,133.93168261300383,3.0,17.266675770184097,7,2.466667967169157,0,1,OK,
NGC4010_rotmod,1,63.16326483422667,3.0,15.723666221889278,10,1.5723666221889279,0,1,OK,
NGC4013_rotmod,1,133.7938076356163,3.0,306.4392978523658,34,9.012920525069584,0,1,OK,
NGC4051_rotmod,1,123.33038626078331,2.016959562469083e-24,61.672023085785774,5,12.334404617157155,0,1,OK,
NGC4068_rotmod,1,10.20837381448544,3.0,0.636822258369237,4,0.15920556459230925,0,1,OK,
NGC4085_rotmod,1,117.6391313622898,6.379044823979191e-25,78.72565457795206,5,15.745130915590412,0,1,OK,
NGC4088_rotmod,1,123.25365982672928,8.773143008016334e-25,309.5508806832617,10,30.95508806832617,0,1,OK,
NGC4100_rotmod,1,96.69417503925004,3.0,47.60683909845577,22,2.1639472317479895,0,1,OK,
NGC4138_rotmod,1,106.32262594002712,3.0,44.50851463980938,5,8.901702927961875,0,1,OK,
NGC4157_rotmod,1,200.0,0.9084340567569004,265.3743941559428,15,17.691626277062856,1,1,EDGE_UP,200.0
NGC4183_rotmod,1,23.66932647697029,3.0,13.534395400696743,21,0.6444950190807973,0,1,OK,
NGC4214_rotmod,1,2.981968459038452,3.0,22.216631178135767,12,1.851385931511314,1,1,EDGE_LOW,
NGC4217_rotmod,1,117.69629490135472,3.4272697363025717e-18,788.205051970944,17,46.36500305711436,0,1,OK,
NGC4389_rotmod,1,117.53447251051578,1.8855318357966984e-16,197.6705599991704,4,49.4176399997926,0,1,OK,
NGC4559_rotmod,1,72.61712005071449,3.0,60.72287713289409,30,2.024095904429803,0,1,OK,
NGC5005_rotmod,1,117.63459885476324,4.295119174810257e-22,585.4265626344156,16,36.58916016465098,0,1,OK,
NGC5033_rotmod,1,87.21909120267611,3.0,375.4530119877724,20,18.77265059938862,0,1,OK,
NGC5055_rotmod,1,200.0,1.0865025023679564,923.7929337370754,26,35.53049745142597,1,1,EDGE_UP,200.0
NGC5371_rotmod,1,198.10284659575137,3.710085863812354e-19,241.1699704290621,17,14.186468848768358,1,1,EDGE_UP,198.10284659575137
