Galaxy,lam_kpc,A,chi2,nu,status
NGC0247_rotmod,199.99999999999997,7733.224749413815,528387645.90508795,24,EDGE_UP
NGC0289_rotmod,0.30000000000000004,7.505449170150391e-13,7344949063.87336,26,EDGE_LOW
NGC0300_rotmod,199.99999999999997,5943.550930156385,515059893.9311502,23,EDGE_UP
NGC0801_rotmod,0.3000000000166454,7.460153154947857e-11,3063738264.940078,11,EDGE_LOW
NGC0891_rotmod,0.3000000000008966,3.707401139557698e-12,26007137413.450417,16,EDGE_LOW
NGC1003_rotmod,0.3000000000003119,4.098997787622432e-16,2057477863.352319,34,EDGE_LOW
NGC1090_rotmod,0.3000000000000024,1.6358525470821773e-17,1149967282.9827023,22,EDGE_LOW
NGC1705_rotmod,199.99999999999994,1012.8254369691793,182914969.75500304,12,EDGE_UP
NGC2366_rotmod,199.99999999999997,89.3668846827229,43501979.713283926,24,EDGE_UP
NGC2403_rotmod,199.99999999999548,260.4741544219646,4354916778.609293,71,EDGE_UP
NGC2683_rotmod,0.3000028993661126,0.07013386313997216,1153493481.0888379,9,EDGE_LOW
NGC2841_rotmod,199.99999999999997,141588.56927448607,67688563927.400024,48,EDGE_UP
NGC2903_rotmod,0.3000000001000856,9.326549338212646e-15,18260727504.6916,32,EDGE_LOW
NGC2915_rotmod,199.99999999999997,1432.7146575555741,828344640.5852828,28,EDGE_UP
NGC2955_rotmod,0.3000000002281751,1.8654721951200104e-09,15044880413.696117,22,EDGE_LOW
NGC2976_rotmod,0.3000000000076787,2.872129527414333e-19,5163355.59201985,25,EDGE_LOW
NGC2998_rotmod,199.99999999999997,3085.2105872926177,1736384278.3153365,11,EDGE_UP
NGC3109_rotmod,199.99999999999991,551.0523329448633,141663701.16934288,23,EDGE_UP
NGC3198,199.99999999999997,13292.06763731453,391504524.87133,4,EDGE_UP
NGC3198_rotmod,0.30000000000000004,4.331507788351511e-14,3321012544.8963056,41,EDGE_LOW
NGC3521_rotmod,0.30000000000211335,4.53763459098977e-12,24935397930.0706,39,EDGE_LOW
