k_1perMpc,P_Mpc3
9.658520515719576502e-04,1.275755619529704745e+04
9.719648002779169259e-04,1.283089388347288514e+04
9.781162357544650066e-04,1.290461103475506570e+04
9.843066028450090516e-04,1.297870901503249297e+04
9.905361479425373213e-04,1.305318918858892539e+04
9.968051189994265454e-04,1.312805291801700150e+04
1.003113765537309680e-03,1.320330156413135592e+04
1.009462338657010671e-03,1.327893648073860095e+04
1.015851091048536239e-03,1.335495899374652072e+04
1.022280277001134030e-03,1.343137041821689309e+04
1.028750152413414288e-03,1.350817206617130432e+04
1.035260974803536588e-03,1.358536524649175772e+04
1.041813003319457497e-03,1.366295126481623993e+04
1.048406498749246971e-03,1.374093142343569707e+04
1.055041723531466779e-03,1.381930702118855152e+04
1.061718941765619388e-03,1.389807935335455295e+04
1.068438419222655835e-03,1.397724971154821105e+04
1.075200423355556021e-03,1.405681938361057473e+04
1.082005223309976229e-03,1.413678965350098406e+04
1.088853089934957354e-03,1.421716180118733246e+04
1.095744295793708379e-03,1.429793710253516656e+04
1.102679115174454464e-03,1.437911682919653867e+04
1.109657824101355520e-03,1.446070224843652977e+04
1.116680700345489604e-03,1.454269461252707879e+04
1.123748023435911783e-03,1.462509514640587258e+04
1.130860074670779567e-03,1.470790506669052047e+04
1.138017137128548599e-03,1.479112558438475389e+04
1.145219495679239679e-03,1.487475790475175381e+04
1.152467436995778007e-03,1.495880322718548086e+04
1.159761249565405706e-03,1.504326274508215283e+04
1.167101223701158975e-03,1.512813764570927924e+04
1.174487651553427848e-03,1.521342911007534894e+04
1.181920827121583830e-03,1.529913831279742953e+04
1.189401046265680393e-03,1.538526642196812099e+04
1.196928606718230224e-03,1.547181459902114693e+04
1.204503808096053829e-03,1.555878399859725141e+04
1.212126951912209649e-03,1.564617576840707807e+04
1.219798341587989251e-03,1.573399104909520611e+04
1.227518282464997931e-03,1.582223097292804960e+04
1.235287081817306896e-03,1.591089663876851955e+04
1.243105048863685658e-03,1.599998911181126095e+04
1.250972494779905783e-03,1.608950944736596648e+04
1.258889732711129632e-03,1.617945869174841573e+04
1.266857077784374350e-03,1.626983788212354921e+04
1.274874847121052835e-03,1.636064804634716893e+04
1.282943359849597316e-03,1.645189020280622208e+04
1.291062937118160354e-03,1.654356536025840978e+04
1.299233902107401264e-03,1.663567451767080638e+04
1.307456580043343461e-03,1.672821866405737092e+04
1.315731298210323511e-03,1.682119877831532722e+04
1.324058385964017610e-03,1.691461582906064359e+04
1.332438174744548717e-03,1.700847077446255935e+04
1.340870998089681515e-03,1.710276456207691081e+04
1.349357191648094777e-03,1.719749812867883520e+04
1.357897093192745892e-03,1.729267239676123427e+04
1.366491042634308904e-03,1.738828825288023290e+04
1.375139382034708821e-03,1.748434656053908839e+04
1.383842455620736380e-03,1.758084817085326722e+04
1.392600609797744549e-03,1.767779392241886308e+04
1.401414193163441754e-03,1.777518464112977745e+04
1.410283556521763591e-03,1.787302113999242647e+04
1.419209052896837787e-03,1.797130421894097526e+04
1.428191037547035021e-03,1.807003466465047313e+04
1.437229867979107146e-03,1.816921325034949405e+04
1.446325903962419500e-03,1.826884073563134370e+04
1.455479507543270407e-03,1.836891786626568137e+04
1.464691043059300219e-03,1.846944537400697300e+04
1.473960877153992523e-03,1.857042397640390118e+04
1.483289378791270534e-03,1.867185437660709795e+04
1.492676919270179798e-03,1.877373726316857937e+04
1.502123872239667819e-03,1.887607329765783288e+04
1.511630613713456275e-03,1.897886308905633996e+04
1.521197522085009080e-03,1.908210722296715176e+04
1.530824978142589785e-03,1.918580626837301679e+04
1.540513365084420893e-03,1.928996077742374473e+04
1.550263068533935980e-03,1.939457128522521452e+04
1.560074476555127227e-03,1.949963830962567590e+04
1.569947979667991617e-03,1.960516235100181439e+04
1.579883970864075140e-03,1.971114389204446707e+04
1.589882845622116094e-03,1.981758339754215922e+04
1.599945001923783368e-03,1.992448131416514298e+04
1.610070840269519667e-03,2.003183807024819544e+04
1.620260763694480587e-03,2.013965407557239814e+04
1.630515177784578858e-03,2.024792972114576696e+04
1.640834490692624856e-03,2.035666537898411116e+04
1.651219113154574029e-03,2.046586140147638434e+04
1.661669458505876011e-03,2.057551810363522964e+04
1.672185942697924140e-03,2.068563575592989946e+04
1.682768984314612307e-03,2.079621460627097622e+04
1.693419004588996328e-03,2.090725488149930243e+04
1.704136427420060908e-03,2.101875678715156391e+04
1.714921679389589835e-03,2.113072050722578206e+04
1.725775189779144578e-03,2.124314620394615122e+04
1.736697390587156305e-03,2.135603401752600257e+04
1.747688716546112872e-03,2.146938406593278705e+04
1.758749605139867458e-03,2.158319644464923476e+04
1.769880496621048906e-03,2.169747122643680268e+04
1.781081834028589361e-03,2.181220846109627018e+04
1.792354063205352102e-03,2.192740817522957877e+04
1.803697632815880582e-03,2.204307037200010018e+04
1.815112994364259137e-03,2.215919503089242062e+04
1.826600602212077569e-03,2.227578210424148710e+04
1.838160913596521926e-03,2.239283148343111316e+04
1.849794388648568714e-03,2.251034301127137587e+04
1.861501490411306831e-03,2.262831650422276289e+04
1.873282684858358377e-03,2.274675175250329266e+04
1.885138440912431743e-03,2.286564851983319750e+04
1.897069230463984194e-03,2.298500654317820226e+04
1.909075528390007841e-03,2.310482553249418561e+04
1.921157812572922953e-03,2.322510517047042231e+04
1.933316563919606568e-03,2.334584511227233088e+04
1.945552266380532131e-03,2.346704498528578188e+04
1.957865406969028828e-03,2.358870438885902695e+04
1.970256475780669293e-03,2.371082289404533731e+04
1.982725966012773965e-03,2.383340004334652986e+04
1.995274373984047295e-03,2.395643535045453973e+04
2.007902199154324753e-03,2.407992829999439346e+04
2.020609944144456660e-03,2.420387833834915364e+04
2.033398114756316925e-03,2.432828484239269528e+04
2.046267219992928005e-03,2.445314714708990141e+04
2.059217772078726812e-03,2.457846455607085591e+04
2.072250286479949011e-03,2.470423634136299370e+04
2.085365281925149073e-03,2.483046174312215953e+04
2.098563280425844776e-03,2.495713996936495096e+04
2.111844807297292691e-03,2.508427019570027915e+04
2.125210391179402011e-03,2.521185156506174462e+04
2.138660564057773706e-03,2.533988318744015851e+04
2.152195861284873259e-03,2.546836413961683138e+04
2.165816821601339141e-03,2.559729346489584714e+04
2.179523987157430936e-03,2.572667017283925452e+04
2.193317903534602788e-03,2.585649323899959563e+04
2.207199119767221281e-03,2.598676160465562498e+04
2.221168188364416440e-03,2.611747417625744856e+04
2.235225665332078466e-03,2.624862979254732636e+04
2.249372110194982829e-03,2.638022719354689980e+04
2.263608086019059783e-03,2.651226507491153097e+04
2.277934159433815230e-03,2.664474209461443752e+04
2.292350900654871286e-03,2.677765687266700479e+04
2.306858883506671641e-03,2.691100799084212849e+04
2.321458685445317027e-03,2.704479399239589475e+04
2.336150887581553339e-03,2.717901338179360755e+04
2.350936074703895064e-03,2.731366462443317869e+04
2.365814835301907008e-03,2.744874614637221021e+04
2.380787761589627394e-03,2.758425633405493863e+04
2.395855449529136257e-03,2.772019353404140929e+04
2.411018498854277346e-03,2.785655605273604669e+04
2.426277513094530526e-03,2.799334215612000116e+04
2.441633099599034660e-03,2.813055006948272421e+04
2.457085869560759247e-03,2.826817797421989962e+04
2.472636438040831750e-03,2.840622395584579499e+04
2.488285423993018015e-03,2.854468600890587550e+04
2.504033450288365315e-03,2.868356208246255846e+04
2.519881143739983315e-03,2.882285008145033134e+04
2.535829135127998495e-03,2.896254786640278326e+04
2.551878059224664281e-03,2.910265325317924726e+04
2.568028554819619044e-03,2.924316401269570633e+04
2.584281264745317587e-03,2.938407787065629236e+04
2.600636835902613107e-03,2.952539250728702973e+04
2.617095919286512636e-03,2.966710555707196909e+04
